dynamicId;dynamicGam;typeId
1;Progressive hazard recognition levels;1
2;Timed decision-making loops (Cognitive Function);3
3;Selective visual cue filtering;3
4;Badges for accurate detection;4
5;Unlocking deeper mine areas after correct identificatio;1
6;Difficulty escalation based on accuracy;1
7;Safety clearance progression bar;1
8;Safe-zone relief moments;2
9;Threat proximity feedback;2
10;Tension buildup when incorrect actions increase gas concentration;2
11;Auditory threat signal discrimination;3
12;elective visual cue filterings;3
13;Risk evaluation checkpoints;3
14;Leaderboard for fastest safe completion;4
15;Reward points for correct preventive actions;4
16;Penalties for unsafe decisions;4
17;increasing slope complexity, unstable surfaces, and risk indicators as the player advances;1
18;unexpected slips and surface changes triggering surprise-based audiovisual alerts;2
19;visual perception of stable footholds, surface texture discrimination, and depth estimation;3
20;visual perception of stable footholds, surface texture discrimination, and depth estimation;3
21;working memory retention of safe paths, slope angle, load stability, and NPC positions during descent;3
22;frustration-based cues triggered by sliding events, aggressive engine audio, and unsafe NPC proximity;2
23;working memory retention of safe paths, slope angle, load stability, and NPC positions during descent;3
24;increasing pathway complexity, decreasing oxygen levels, and ventilation unlocking stages;1
25;perceptual discrimination of oxygen cues, safe vs unsafe paths, and airflow indicators;3
26;extrinsic rewards for ventilation detection, time-based ranking, and penalties for unsafe entries;4
27;fear-based cues such as oxygen-drop alerts, fogging tunnels, and collapsing NPCs;2
28;surprise-based triggers such as sudden equipment activation and unexpected visual warnings;2
29;inhibitory control challenges requiring suppression of habitual responses and sequential decision gates;3
30;extrinsic rewards for correct inhibition, badges for precision, and penalties for routine-based shortcuts;4
