narrativeId;narrativeGamTitle
1;Labyrinth of Slopes: Trial of Balance
2;Under Pressure: The Critical Descent
3;Oxygen Maze: Race Against Hypoxia
4;The Supervisor?s Chronicle: Risk Protocols
5;Breaking the Routine: The Hidden Risk
6;Guardians of the Ventilation Front
7;The Last Safe Route
8;Echoes in the Depths: The Warning Signal
9;Decision Point: No Turning Back
10;Split-Second Judgment
11;The Critical Choice Protocol
12;Impulse Override: Control the Reaction
13;Fear Threshold: Escape the Collapse
14;Unexpected Activation: The Silent Threat
15;Blind Spot: Hidden Dangers Ahead
16;Habits of Danger
17;The Routine Trap
18;Autopilot Failure: Break the Pattern
19;Teamline: Rescue Under Pressure
20;Coordinated Escape: The Crew Challenge
21;Supervisor's Route: Beneath the Mountain of Fire
;
